,Name, StationType, MeanAvgTemperature,yyyy-mm-dd
185,SCOTIA, COOP,46.5,2013-01-01
186,MANZANITA LAKE, COOP,30.4,2013-01-01
187,WHISKEYTOWN RESERVOIR, COOP,44.6,2013-01-01
188,SHASTA DAM, COOP,47.5,2013-01-01
189,TRINITY RIVER HATCHERY, COOP,38.0,2013-01-01
190,BIG BAR 4 E, COOP,39.1,2013-01-01
191,WILLOW CREEK 1 NW, COOP,41.1,2013-01-01
192,SUSANVILLE 2SW, WBAN,20.5,2013-01-01
193,TEJON RANCHO, WBAN,46.6,2013-01-01
194,BURBANK GLENDALE PASADENA AP, WBAN,54.3,2013-01-01
195,MOUNT SHASTA, COOP,33.9,2013-01-01
196,WATSONVILLE MUNICIPAL AP, WBAN,48.6,2013-01-01
197,SANTA ROSA SONOMA CO AP, WBAN,44.9,2013-01-01
198,DUNSMUIR TREATMENT PL, COOP,36.4,2013-01-01
199,JESS VALLEY, COOP,25.9,2013-01-01
200,MCCLOUD, COOP,35.6,2013-01-01
201,CALLAHAN, COOP,31.1,2013-01-01
202,SAWYERS BAR RS, COOP,42.9,2013-01-01
203,ALTURAS, COOP,22.1,2013-01-01
204,FORT JONES RS, COOP,28.4,2013-01-01
205,LAVA BEDS NAT MON, COOP,28.2,2013-01-01
206,MOUNT HEBRON RS, COOP,26.6,2013-01-01
207,CRESCENT CITY 3 NNW, WBAN,41.4,2013-01-01
208,CRESCENT CITY MCNAMARA AP, WBAN,43.9,2013-01-01
209,FORT BIDWELL, COOP,22.4,2013-01-01
210,GASQUET RS, COOP,42.2,2013-01-01
211,TULELAKE, COOP,23.5,2013-01-01
212,COPCO NO 1 DAM, COOP,32.5,2013-01-01
213,BARSTOW, COOP,42.8,2013-01-01
214,PEARBLOSSOM, COOP,43.5,2013-01-01
215,EL CAJON, COOP,53.1,2013-01-01
216,MARKLEY COVE, COOP,44.1,2013-01-01
217,DAGGETT AP, WBAN,44.8,2013-01-01
218,MERCED, COOP,43.3,2013-01-01
219,SAN DIEGO MONTGOMERY FIELD, WBAN,54.3,2013-01-01
220,SAN DIEGO INTERNATIONAL AP, WBAN,55.8,2013-01-01
221,SAN DIEGO MIRAMAR NAS, WBAN,54.4,2013-01-01
222,NORTH ISLAND NAS, WBAN,56.7,2013-01-01
223,SAN FRANCISCO INTERNATIONAL AP, WBAN,48.6,2013-01-01
224,SAN LUIS OBISPO MCCHESNEY FIELD, WBAN,51.0,2013-01-01
225,CEDARVILLE, COOP,23.7,2013-01-01
226,CHICO UNIVERSITY FARM, COOP,43.6,2013-01-01
227,CHULA VISTA, COOP,55.4,2013-01-01
228,COLFAX, COOP,44.8,2013-01-01
229,CUYAMACA, COOP,40.5,2013-01-01
230,DAVIS 2 WSW EXP FARM, COOP,44.2,2013-01-01
231,DEATH VALLEY, COOP,52.9,2013-01-01
232,FAIRMONT, COOP,42.6,2013-01-01
233,FORT BRAGG 5 N, COOP,44.1,2013-01-01
234,HANFORD 1 S, COOP,44.0,2013-01-01
235,HAPPY CAMP RANGER STATION, COOP,35.7,2013-01-01
236,INDIO FIRE STATION, COOP,56.9,2013-01-01
237,LEMON COVE, COOP,46.6,2013-01-01
238,LIVERMORE, COOP,44.4,2013-01-01
239,LODI, COOP,43.3,2013-01-01
240,MERCED MUNICIPAL AP, WBAN,44.6,2013-01-01
241,NAPA STATE HOSPITAL, COOP,46.0,2013-01-01
242,OJAI, COOP,48.8,2013-01-01
243,ORLAND, COOP,45.5,2013-01-01
244,ORLEANS, COOP,39.7,2013-01-01
245,PASADENA, COOP,57.0,2013-01-01
246,PASO ROBLES, COOP,45.0,2013-01-01
247,PETALUMA AIRPORT, COOP,45.0,2013-01-01
248,QUINCY, COOP,28.6,2013-01-01
249,REDLANDS, COOP,51.4,2013-01-01
250,SANTA BARBARA, COOP,52.7,2013-01-01
251,SANTA CRUZ, COOP,49.2,2013-01-01
252,SANTA ROSA, COOP,45.2,2013-01-01
253,TAHOE CITY, COOP,27.6,2013-01-01
254,UKIAH, COOP,43.9,2013-01-01
255,WASCO, COOP,46.5,2013-01-01
256,WEAVERVILLE, COOP,36.8,2013-01-01
257,WILLOWS 6 W, COOP,46.0,2013-01-01
258,YOSEMITE PARK HEADQUARTERS, COOP,33.8,2013-01-01
259,YREKA, COOP,30.3,2013-01-01
260,BERKELEY, COOP,49.5,2013-01-01
261,BLYTHE, COOP,53.7,2013-01-01
262,EUREKA WFO WOODLEY ISLAND, WBAN,44.0,2013-01-01
263,INDEPENDENCE, WBAN,42.8,2013-01-01
264,SAN LUIS OBISPO POLY, WBAN,53.2,2013-01-01
265,BURNEY, WBAN,24.6,2013-01-01
266,IMPERIAL BEACH REAM FIELD NAS, WBAN,54.4,2013-01-01
267,CAMPO, COOP,46.4,2013-01-01
268,EL CENTRO 2 SSW, COOP,54.2,2013-01-01
269,IMPERIAL COUNTY AP, WBAN,53.5,2013-01-01
270,EL CENTRO NAF, WBAN,53.1,2013-01-01
271,ALPINE, COOP,50.8,2013-01-01
272,REDONDO BEACH, COOP,54.4,2013-01-01
273,BURBANK VALLEY PUMP PLANT, COOP,54.2,2013-01-01
274,TWENTYNINE PALMS 12E - WONDER VALLEY, COOP,47.6,2013-01-01
275,MORONGO VALLEY NORTH, COOP,46.5,2013-01-01
276,SHAFTER 6E, COOP,44.2,2013-01-01
277,TRUCKEE-TAHOE AIRPORT DISTRICT, COOP,19.2,2013-01-01
278,PLACERVILLE 3 ENE, COOP,43.7,2013-01-01
279,TAHOMA, COOP,24.6,2013-01-01
280,CORONA MUNICIPAL AIRPORT, WBAN,56.0,2013-01-01
281,VERDI 2W, COOP,23.8,2013-01-01
282,LORAINE 5 NNE, COOP,41.1,2013-01-01
283,LEE VINING, COOP,21.7,2013-01-01
284,ANAHEIM, COOP,57.4,2013-01-01
285,NEW MELONES DAM HQ, COOP,46.3,2013-01-01
286,MAMMOTH LAKES R.S., COOP,25.6,2013-01-01
287,MONTEREY WFO, COOP,49.3,2013-01-01
288,SKYLINE RIDGE PRESERVE, COOP,46.6,2013-01-01
289,FREMONT, COOP,47.3,2013-01-01
290,NEWHALL 5NW, COOP,51.9,2013-01-01
291,TEHACHAPI 4 SE, COOP,38.4,2013-01-01
292,NORTHRIDGE CAL STATE, COOP,55.4,2013-01-01
293,OXNARD WFO, COOP,55.1,2013-01-01
294,HANFORD MUNICIPAL AP, WBAN,44.0,2013-01-01
295,RAMONA AIRPORT, WBAN,48.3,2013-01-01
296,VACAVILLE NUT TREE AP, WBAN,44.0,2013-01-01
297,ALTURAS MUNICIPAL AP, WBAN,19.4,2013-01-01
298,MADERA MUNICIPAL AP, WBAN,44.1,2013-01-01
299,BAKERSFIELD 5 NW, COOP,45.9,2013-01-01
300,FRESNO 5 NE, COOP,47.1,2013-01-01
301,OCEANSIDE MUNICIPAL AP, WBAN,50.9,2013-01-01
302,SAN DIEGO SEAWORLD, COOP,52.8,2013-01-01
303,ARCATA EUREKA AP, WBAN,42.7,2013-01-01
304,NEWPORT BEACH HARBOR, WBAN,54.1,2013-01-01
305,ESCONDIDO NO. 2, COOP,53.1,2013-01-01
306,REDDING MUNICIPAL AP, WBAN,44.9,2013-01-01
307,AVALON CATALINA AP, WBAN,54.2,2013-01-01
308,SANTA MARIA PUBLIC AP, WBAN,49.6,2013-01-01
309,MOUNT SHASTA, WBAN,33.2,2013-01-01
310,RED BLUFF MUNICIPAL AP, WBAN,45.5,2013-01-01
311,NEEDLES AP, WBAN,52.4,2013-01-01
312,CHINA LAKE NAF, WBAN,41.4,2013-01-01
313,MCOLF CAMP PENDLETON RED BEACH AIRPORT, WBAN,53.7,2013-01-01
314,CAMPO ASOS, WBAN,45.9,2013-01-01
315,Burbank Glendale Pasadena Area, ThreadEx,54.3,2013-01-01
316,Camarillo Area, ThreadEx,55.7,2013-01-01
317,Needles Area, ThreadEx,52.4,2013-01-01
318,Oxnard Area, ThreadEx,55.1,2013-01-01
319,Palm Springs Area, ThreadEx,55.9,2013-01-01
320,Riverside Area, ThreadEx,54.2,2013-01-01
321,Ramona Area, ThreadEx,48.3,2013-01-01
322,Crescent City Area, ThreadEx,43.9,2013-01-01
323,Escondido Area, ThreadEx,53.1,2013-01-01
324,Sacramento Downtown Area, ThreadEx,46.6,2013-01-01
325,Tahoe City Area, ThreadEx,27.6,2013-01-01
326,Ukiah Area, ThreadEx,44.5,2013-01-01
327,HEARST CASTLE, COOP,51.1,2013-01-01
328,GETTY CENTER, COOP,56.9,2013-01-01
329,HESPERIA 2E, COOP,44.1,2013-01-01
330,RANCHO BERNARDO, COOP,54.6,2013-01-01
331,OCOTILLO WELLS 2W, COOP,55.6,2013-01-01
332,IRVINE RANCH, COOP,56.0,2013-01-01
333,MT. LAGUNA #3, COOP,36.6,2013-01-01
334,AVALON INLAND, COOP,49.2,2013-01-01
335,DESERT CENTER 2 NNE, COOP,51.4,2013-01-01
336,TORRANCE AP, WBAN,55.2,2013-01-01
337,MERCED 23 WSW, WBAN,42.1,2013-01-01
338,REDDING 12 WNW, WBAN,45.3,2013-01-01
339,STOVEPIPE WELLS 1 SW, WBAN,51.7,2013-01-01
340,LOS ANGELES DOWNTOWN/USC, WBAN,56.7,2013-01-01
341,FRESNO YOSEMITE INT'L, WBAN,47.1,2013-01-01
342,MONTEREY PENINSUL AP, WBAN,49.7,2013-01-01
343,PASO ROBLES MUNICIPAL AP, WBAN,45.8,2013-01-01
344,MONTAGUE SISKIYOU AIRPORT, WBAN,31.2,2013-01-01
345,SAN JOSE, WBAN,47.7,2013-01-01
346,PALM SPRINGS ASOS, WBAN,55.9,2013-01-01
347,SAN DIEGO BROWN FIELD, WBAN,53.9,2013-01-01
348,Bakersfield Area, ThreadEx,46.7,2013-01-01
349,Bishop Area, ThreadEx,38.1,2013-01-01
350,Los Angeles Downtown Area, ThreadEx,56.7,2013-01-01
351,Eureka Area, ThreadEx,44.0,2013-01-01
352,Fresno Area, ThreadEx,47.1,2013-01-01
353,Los Angeles Airport Area, ThreadEx,56.5,2013-01-01
354,Long Beach Area, ThreadEx,55.5,2013-01-01
355,Redding Area, ThreadEx,44.9,2013-01-01
356,Sacramento Area, ThreadEx,44.1,2013-01-01
357,San Diego Area, ThreadEx,55.8,2013-01-01
358,Stockton Area, ThreadEx,43.9,2013-01-01
359,San Francisco Airport Area, ThreadEx,48.6,2013-01-01
360,Santa Maria Area, ThreadEx,49.6,2013-01-01
361,CAMP PENDLETON MCAS, WBAN,51.9,2013-01-01
362,LEMOORE REEVES NAS, WBAN,43.5,2013-01-01
363,MOUNTAIN PASS 1SE, COOP,33.6,2013-01-01
364,ARVIN, COOP,46.0,2013-01-01
365,CHIRIACO SUMMIT, COOP,48.8,2013-01-01
366,FALLBROOK 5 NE, WBAN,55.6,2013-01-01
367,SANTA BARBARA 11 W, WBAN,49.4,2013-01-01
368,BODEGA 6 WSW, WBAN,49.2,2013-01-01
369,YOSEMITE VILLAGE 12 W, WBAN,36.7,2013-01-01
370,YUCCA MESA, COOP,45.2,2013-01-01
371,YUCCA VALLEY, COOP,43.7,2013-01-01
372,JOHNSON VALLEY, COOP,42.1,2013-01-01
373,ARBUCKLE BASIN CALIFORNIA, RAWS,46.9,2013-01-01
374,ACTON CALIFORNIA, RAWS,49.2,2013-01-01
375,ARROYO GRANDE CALIFORNIA, RAWS,51.3,2013-01-01
376,ALDER SPRINGS CALIFORNIA, RAWS,44.5,2013-01-01
377,ALPINE CALIFORNIA, RAWS,52.6,2013-01-01
378,LOS ALTOS CALIFORNIA, RAWS,49.1,2013-01-01
379,ANZA CALIFORNIA, RAWS,43.1,2013-01-01
380,ALDER POINT CALIFORNIA, RAWS,42.4,2013-01-01
381,ARROYO SECO (MT. DIABLO) CALIF, RAWS,48.4,2013-01-01
382,ASH CREEK CALIFORNIA, RAWS,33.3,2013-01-01
383,ASH VALLEY CALIFORNIA, RAWS,24.9,2013-01-01
384,BALD MTN LOC CALIFORNIA, RAWS,43.3,2013-01-01
385,BARNABY CALIFORNIA, RAWS,50.0,2013-01-01
386,BATTERSON CALIFORNIA, RAWS,45.6,2013-01-01
387,BIG BAR CALIFORNIA, RAWS,40.6,2013-01-01
388,BELL CANYON CALIFORNIA, RAWS,57.3,2013-01-01
389,BRADLEY CALIFORNIA, RAWS,45.4,2013-01-01
390,BEAR PEAK CALIFORNIA, RAWS,32.8,2013-01-01
391,BENTON CALIFORNIA, RAWS,34.0,2013-01-01
392,BEAUMONT CALIFORNIA, RAWS,49.7,2013-01-01
393,BEVERLY HILLS CALIFORNIA, RAWS,58.5,2013-01-01
394,BANGOR CALIFORNIA, RAWS,45.9,2013-01-01
395,BIG HILL CALIFORNIA, RAWS,38.3,2013-01-01
396,BIG PINES CALIFORNIA, RAWS,35.5,2013-01-01
397,BIG ROCK CALIFORNIA, RAWS,47.3,2013-01-01
398,BLACK DIAMOND CALIFORNIA, RAWS,45.8,2013-01-01
399,BLUE DOOR CALIFORNIA, RAWS,27.3,2013-01-01
400,BEN BOLT CALIFORNIA, RAWS,45.2,2013-01-01
401,BEN LOMOND CALIFORNIA, RAWS,47.9,2013-01-01
402,BOGARD R.S. CALIFORNIA, RAWS,21.6,2013-01-01
403,BOONVILLE CALIFORNIA, RAWS,46.9,2013-01-01
404,BIG PINE FLAT CALIFORNIA, RAWS,35.9,2013-01-01
405,BRIDGEPORT 4NW CALIFORNIA, RAWS,24.3,2013-01-01
406,BRANCH MOUNTAIN CALIFORNIA, RAWS,45.9,2013-01-01
407,BEAR FLAT CALIFORNIA, RAWS,30.7,2013-01-01
408,BRIONES CALIFORNIA, RAWS,45.8,2013-01-01
409,BLACKROCK CALIFORNIA, RAWS,33.6,2013-01-01
410,BROOKS CALIFORNIA, RAWS,46.1,2013-01-01
411,BIG SUR CALIFORNIA, RAWS,52.4,2013-01-01
412,BULL FLAT CALIFORNIA, RAWS,20.3,2013-01-01
413,BURNS CANYON CALIFORNIA, RAWS,38.5,2013-01-01
414,BUTTERCUP CALIFORNIA, RAWS,56.5,2013-01-01
415,BEAVER CAMP LOC CALIFORNIA, RAWS,44.0,2013-01-01
416,BRAZIE RANCH CALIFORNIA, RAWS,33.9,2013-01-01
417,CAHUILLA CALIFORNIA, RAWS,55.8,2013-01-01
418,CALLAHAN CALIFORNIA, RAWS,35.7,2013-01-01
419,CAMERON FIRE STATION CALIFORNI, RAWS,45.8,2013-01-01
420,CANBY CALIFORNIA, RAWS,22.5,2013-01-01
421,CARRIZO CALIFORNIA, RAWS,48.8,2013-01-01
422,CATHEYS VALLEY CALIFORNIA, RAWS,45.9,2013-01-01
423,CHEESEBORO CALIFORNIA, RAWS,55.0,2013-01-01
424,CHICO CALIFORNIA, RAWS,44.4,2013-01-01
425,CHILAO CALIFORNIA, RAWS,43.8,2013-01-01
426,CHUCHUPATE CALIFORNIA, RAWS,35.2,2013-01-01
427,CLAREMONT CALIFORNIA, RAWS,52.3,2013-01-01
428,CLEAR CREEK CALIFORNIA, RAWS,47.9,2013-01-01
429,CLARK CALIFORNIA, RAWS,52.5,2013-01-01
430,CALAVERAS ROAD CALIFORNIA, RAWS,46.7,2013-01-01
431,CASE MOUNTAIN CALIFORNIA, RAWS,40.5,2013-01-01
432,COHASSET CALIFORNIA, RAWS,48.1,2013-01-01
433,COLLINS BALDY CALIFORNIA, RAWS,36.9,2013-01-01
434,SANTA ROSA ISLAND CALIFORNIA, RAWS,52.9,2013-01-01
435,SANTA ROSA PLATEAU CALIFORNIA, RAWS,52.6,2013-01-01
436,SANTA ROSA CALIFORNIA, RAWS,48.7,2013-01-01
437,STAMPEDE CALIFORNIA, RAWS,30.7,2013-01-01
438,STONYFORD CALIFORNIA, RAWS,45.3,2013-01-01
439,SUGARLOAF (SHF) CALIFORNIA, RAWS,43.6,2013-01-01
440,SPRING VALLEY CALIFORNIA, RAWS,47.7,2013-01-01
441,TANBARK CALIFORNIA, RAWS,52.0,2013-01-01
442,TEMESCAL (LPF) CALIFORNIA, RAWS,52.0,2013-01-01
443,THOMES CREEK CALIFORNIA, RAWS,50.0,2013-01-01
444,TIMBER MOUNTAIN CALIFORNIA, RAWS,31.9,2013-01-01
445,MOUNT TOM CALIFORNIA, RAWS,32.3,2013-01-01
446,LAS TRAMPAS CALIFORNIA, RAWS,45.5,2013-01-01
447,TRINITY CAMP CALIFORNIA, RAWS,37.6,2013-01-01
448,TRIMMER CALIFORNIA, RAWS,46.2,2013-01-01
449,UHL / HOT SPRINGS, RAWS,44.5,2013-01-01
450,UNDERWOOD CALIFORNIA, RAWS,38.9,2013-01-01
451,VALLEY CENTER CALIFORNIA, RAWS,53.2,2013-01-01
452,VAN BREMMER CALIFORNIA, RAWS,34.9,2013-01-01
453,VALYERMO CALIFORNIA, RAWS,42.0,2013-01-01
454,VANDENBERG CALIFORNIA, RAWS,56.3,2013-01-01
455,WALKER CALIFORNIA, RAWS,30.5,2013-01-01
456,WALKER PASS CALIFORNIA, RAWS,42.4,2013-01-01
